"owner","field","file","occurrences"
"course","slug","assets/js/pages/courses.js","1"
"course","status","assets/js/pages/courses.js","9"
"course","summary","assets/js/pages/courses.js","1"
"course","thumbnail_url","assets/js/pages/courses.js","2"
"course","title","assets/js/pages/courses.js","4"
"course","total_duration_seconds","assets/js/pages/courses.js","1"
"instructor","email","assets/js/pages/courses.js","1"
"instructor","full_name","assets/js/pages/courses.js","1"
"instructor","id","assets/js/pages/courses.js","1"
"meta","current_page","assets/js/pages/courses.js","3"
"meta","last_page","assets/js/pages/courses.js","1"
"meta","per_page","assets/js/pages/courses.js","2"
"meta","total","assets/js/pages/courses.js","3"
"response","data","assets/js/pages/courses.js","20"
"response","message","assets/js/pages/courses.js","5"
"response","meta","assets/js/pages/courses.js","1"
"response","success","assets/js/pages/courses.js","7"
"summary","average_rating","assets/js/pages/courses.js","1"
"summary","draft_courses","assets/js/pages/courses.js","2"
"summary","hidden_courses","assets/js/pages/courses.js","2"
"summary","new_courses_30_days","assets/js/pages/courses.js","1"
"summary","pending_review_courses","assets/js/pages/courses.js","2"
"summary","published_courses","assets/js/pages/courses.js","2"
"summary","rejected_courses","assets/js/pages/courses.js","2"
"summary","total_courses","assets/js/pages/courses.js","3"
"summary","total_enrollments","assets/js/pages/courses.js","1"
"summary","total_gross_revenue","assets/js/pages/courses.js","1"
"summary","total_paid_orders","assets/js/pages/courses.js","1"
"course","approved_at","assets/js/pages/dashboard.js","1"
"course","course_id","assets/js/pages/dashboard.js","1"
"course","created_at","assets/js/pages/dashboard.js","1"
"course","gross_revenue","assets/js/pages/dashboard.js","1"
"course","id","assets/js/pages/dashboard.js","1"
"course","instructor_name","assets/js/pages/dashboard.js","2"
"course","published_at","assets/js/pages/dashboard.js","1"
"course","sales_count","assets/js/pages/dashboard.js","1"
"course","status","assets/js/pages/dashboard.js","4"
"course","title","assets/js/pages/dashboard.js","4"
"data","dashboard","assets/js/pages/dashboard.js","3"
"data","items","assets/js/pages/dashboard.js","2"
"data","revenue_report","assets/js/pages/dashboard.js","1"
"data","top_courses","assets/js/pages/dashboard.js","1"
"data","top_instructors","assets/js/pages/dashboard.js","1"
"item","badgeClass","assets/js/pages/dashboard.js","1"
"item","borderClass","assets/js/pages/dashboard.js","1"
"item","btnClass","assets/js/pages/dashboard.js","1"
"item","btnText","assets/js/pages/dashboard.js","1"
"item","className","assets/js/pages/dashboard.js","2"
"item","count","assets/js/pages/dashboard.js","2"
"item","date","assets/js/pages/dashboard.js","1"
"item","desc","assets/js/pages/dashboard.js","1"
"item","gross_amount","assets/js/pages/dashboard.js","1"
"item","innerHTML","assets/js/pages/dashboard.js","2"
"item","instructor_amount","assets/js/pages/dashboard.js","1"
"item","link","assets/js/pages/dashboard.js","1"
"item","platform_fee_amount","assets/js/pages/dashboard.js","1"
"item","title","assets/js/pages/dashboard.js","1"
"order","amount","assets/js/pages/dashboard.js","1"
"order","course","assets/js/pages/dashboard.js","4"
"order","id","assets/js/pages/dashboard.js","1"
"order","learner_name","assets/js/pages/dashboard.js","1"
"order","paid_at","assets/js/pages/dashboard.js","1"
"order","status","assets/js/pages/dashboard.js","1"
"order","user","assets/js/pages/dashboard.js","2"
"revenue","gross_amount","assets/js/pages/dashboard.js","1"
"revenue","instructor_amount","assets/js/pages/dashboard.js","1"
"revenue","platform_fee_amount","assets/js/pages/dashboard.js","1"
"summary","completed_enrollments","assets/js/pages/dashboard.js","1"
"summary","completion_rate","assets/js/pages/dashboard.js","2"
"summary","paid_orders","assets/js/pages/dashboard.js","1"
"summary","total_courses","assets/js/pages/dashboard.js","3"
"summary","total_enrollments","assets/js/pages/dashboard.js","2"
"summary","total_instructors","assets/js/pages/dashboard.js","1"
"summary","total_learners","assets/js/pages/dashboard.js","1"
"summary","total_orders","assets/js/pages/dashboard.js","2"
"summary","total_published_courses","assets/js/pages/dashboard.js","1"
"summary","total_users","assets/js/pages/dashboard.js","3"
"item","application_status","assets/js/pages/instructor-upgrades.js","3"
"item","instructor_profile","assets/js/pages/instructor-upgrades.js","3"
"item","payout_account","assets/js/pages/instructor-upgrades.js","6"
"item","submitted_at","assets/js/pages/instructor-upgrades.js","1"
"item","user","assets/js/pages/instructor-upgrades.js","10"
"meta","current_page","assets/js/pages/instructor-upgrades.js","12"
"meta","last_page","assets/js/pages/instructor-upgrades.js","5"
"meta","per_page","assets/js/pages/instructor-upgrades.js","2"
"meta","total","assets/js/pages/instructor-upgrades.js","3"
"response","data","assets/js/pages/instructor-upgrades.js","6"
"response","error_code","assets/js/pages/instructor-upgrades.js","2"
"response","message","assets/js/pages/instructor-upgrades.js","5"
"response","meta","assets/js/pages/instructor-upgrades.js","2"
"response","success","assets/js/pages/instructor-upgrades.js","4"
"summary","approved","assets/js/pages/instructor-upgrades.js","6"
"summary","pending","assets/js/pages/instructor-upgrades.js","4"
"summary","rejected","assets/js/pages/instructor-upgrades.js","6"
"summary","total","assets/js/pages/instructor-upgrades.js","6"
"user","email","assets/js/pages/instructor-upgrades.js","4"
"user","email_verified_at","assets/js/pages/instructor-upgrades.js","1"
"user","full_name","assets/js/pages/instructor-upgrades.js","7"
"user","id","assets/js/pages/instructor-upgrades.js","9"
"user","phone","assets/js/pages/instructor-upgrades.js","1"
"user","role","assets/js/pages/instructor-upgrades.js","4"
"user","status","assets/js/pages/instructor-upgrades.js","2"
"meta","current_page","assets/js/pages/users.js","12"
"meta","last_page","assets/js/pages/users.js","5"
"meta","per_page","assets/js/pages/users.js","2"
"meta","total","assets/js/pages/users.js","3"
"response","data","assets/js/pages/users.js","4"
"response","error_code","assets/js/pages/users.js","2"
"response","errors","assets/js/pages/users.js","2"
"response","message","assets/js/pages/users.js","9"
"response","meta","assets/js/pages/users.js","1"
"response","success","assets/js/pages/users.js","8"
"summary","active_users","assets/js/pages/users.js","1"
"summary","locked_users","assets/js/pages/users.js","3"
"summary","new_users_in_period","assets/js/pages/users.js","1"
"summary","no_login_users","assets/js/pages/users.js","1"
"summary","total_instructors","assets/js/pages/users.js","2"
"summary","total_learners","assets/js/pages/users.js","2"
"summary","total_users","assets/js/pages/users.js","3"
"summary","unverified_users","assets/js/pages/users.js","3"
"user","created_at","assets/js/pages/users.js","2"
"user","effective_status","assets/js/pages/users.js","2"
"user","email","assets/js/pages/users.js","7"
"user","email_verified_at","assets/js/pages/users.js","3"
"user","full_name","assets/js/pages/users.js","13"
"user","id","assets/js/pages/users.js","15"
"user","last_login_at","assets/js/pages/users.js","4"
"user","locked","assets/js/pages/users.js","4"
"user","locked_reason","assets/js/pages/users.js","2"
"user","oauth_account_login","assets/js/pages/users.js","1"
"user","phone","assets/js/pages/users.js","3"
"user","role","assets/js/pages/users.js","7"
"user","status","assets/js/pages/users.js","12"
"user","updated_at","assets/js/pages/users.js","1"
"item","active","assets/js/sidebar-scroll.js","1"
"data","action_required","data/dashboard.js","1"
"data","course_status","data/dashboard.js","1"
"data","items","data/dashboard.js","3"
