"path","extension","size_bytes","modified_at","is_changed","category"
"assets/js/pages/instructor-upgrades.js",".js","61298","2026-07-14T16:48:00","False","page"
"assets/js/pages/moderation.js",".js","234","2026-07-11T10:04:17","False","page"
"assets/js/pages/notifications.js",".js","182","2026-07-11T10:04:17","False","page"
"assets/js/pages/orders.js",".js","202","2026-07-11T10:04:17","False","page"
"assets/js/pages/payout-accounts.js",".js","200","2026-07-11T10:04:17","False","page"
"assets/js/pages/reports.js",".js","198","2026-07-11T10:04:17","False","page"
"assets/js/pages/revenues.js",".js","212","2026-07-11T10:04:17","False","page"
"assets/js/pages/users.js",".js","66944","2026-07-16T00:18:54","False","page"
"assets/js/pages/withdrawals.js",".js","192","2026-07-11T10:04:17","False","page"
"components/data-table.html",".html","99","2026-07-11T10:04:15","False","component"
"components/empty-state.html",".html","114","2026-07-11T10:04:15","False","component"
"components/filter-bar.html",".html","95","2026-07-11T10:04:15","False","component"
"components/modal.html",".html","132","2026-07-11T10:04:15","False","component"
"components/pagination.html",".html","83","2026-07-11T10:04:15","False","component"
"components/sidebar.html",".html","16979","2026-07-15T22:55:40","False","component"
"components/stat-card.html",".html","100","2026-07-11T10:04:15","False","component"
"components/topbar.html",".html","6794","2026-07-16T00:20:37","False","component"
"data/banners.js",".js","35","2026-07-11T10:04:17","False","other"
"data/categories.js",".js","38","2026-07-11T10:04:17","False","other"
"data/course-reviews.js",".js","42","2026-07-11T10:04:17","False","other"
"data/courses.js",".js","35","2026-07-11T10:04:17","False","other"
"data/dashboard.js",".js","43274","2026-07-14T16:48:00","False","other"
"data/faqs.js",".js","32","2026-07-11T10:04:17","False","other"
"data/instructor-upgrades.js",".js","5981","2026-07-14T14:22:09","False","other"
"data/moderation.js",".js","38","2026-07-11T10:04:17","False","other"
"data/notifications.js",".js","41","2026-07-11T10:04:17","False","other"
"data/orders.js",".js","34","2026-07-11T10:04:17","False","other"
"data/payout-accounts.js",".js","43","2026-07-11T10:04:17","False","other"
"data/reports.js",".js","35","2026-07-11T10:04:17","False","other"
"data/revenues.js",".js","36","2026-07-11T10:04:17","False","other"
"data/users.js",".js","11187","2026-07-13T23:13:12","False","other"
"data/withdrawals.js",".js","39","2026-07-11T10:04:17","False","other"
"knowledge/INDEX.md",".md","652","2026-07-11T10:37:25","False","other"
"knowledge/admin/ADMIN_FE_GD1_FULL.md",".md","57548","2026-07-11T09:29:02","False","other"
"knowledge/admin/banners.md",".md","1813","2026-07-11T10:37:25","False","other"
"knowledge/admin/categories.md",".md","1865","2026-07-11T10:37:25","False","other"
"knowledge/admin/course-reviews.md",".md","2320","2026-07-11T10:37:25","False","other"
"knowledge/admin/courses.md",".md","3213","2026-07-11T10:37:25","False","other"
"knowledge/admin/dashboard.md",".md","9608","2026-07-11T10:37:25","False","other"
"knowledge/admin/faqs.md",".md","1478","2026-07-11T10:37:25","False","other"
"knowledge/admin/INDEX.md",".md","712","2026-07-11T10:37:25","False","other"
"knowledge/admin/instructor-upgrades.md",".md","2415","2026-07-11T10:37:25","False","other"
"knowledge/admin/moderation.md",".md","2604","2026-07-11T10:37:25","False","other"
"knowledge/admin/notifications.md",".md","1415","2026-07-11T10:37:25","False","other"
"knowledge/admin/orders.md",".md","3768","2026-07-11T10:37:25","False","other"
"knowledge/admin/payout-accounts.md",".md","2482","2026-07-11T10:37:25","False","other"
"knowledge/admin/reports.md",".md","2780","2026-07-11T10:37:25","False","other"
"knowledge/admin/revenues.md",".md","3200","2026-07-11T10:37:25","False","other"
"knowledge/admin/users.md",".md","4480","2026-07-11T10:37:25","False","other"
"knowledge/admin/withdrawals.md",".md","3956","2026-07-11T10:37:25","False","other"
"knowledge/api/api-index.md",".md","241","2026-07-11T10:37:25","False","other"
"knowledge/api/existing-api.md",".md","434","2026-07-11T10:37:25","False","other"
"knowledge/api/FE_ADMIN_MINDHUB_GD1_API_CONTRACT_V2.md",".md","26928","2026-07-13T21:59:55","False","other"
"knowledge/api/missing-api.md",".md","321","2026-07-11T10:37:25","False","other"
"knowledge/api/status-dictionary.md",".md","994","2026-07-11T10:37:25","False","other"
"knowledge/design/component-rules.md",".md","1795","2026-07-13T21:59:55","False","other"
"knowledge/design/DESIGN.md",".md","18626","2026-07-13T22:46:12","False","other"
"knowledge/design/layout-rules.md",".md","503","2026-07-13T21:59:55","False","other"
